,name,total,uri
256,Quarantine & Chill,121,spotify:playlist:5nVqWbdJlMb59ehpNLyNGB
257,#quarantineandchill,85,spotify:playlist:1Dhmmsgs7tXT6nOSOr0zAv
258,Self/Quarantine + Self/Love,42,spotify:playlist:3BBcIEIrAVb4MdOjjrceFY
259,Christian Quarantine,87,spotify:playlist:6FacbZlQPORr8PDezDTCCy
260,quarantine vibes,154,spotify:playlist:6OyBlJofR5QMODu2KnpG2p
261,Covid-19 Quarantine Worship,368,spotify:playlist:7kvKrh84rxUw53ys9V2dSd
262,Quarantine Queen ,135,spotify:playlist:03qxJxZk0sf5SaiO09pfPG
263,.:Quarantine b00g13:.,43,spotify:playlist:6pNtntfFOaCUYauhi4jeIr
264,green bean quarantine ,103,spotify:playlist:3qbG9ETVOkCp0N6AAYUrgH
265,Corb Lund's Quarantine Blues,19,spotify:playlist:3mKC8LJW7cDxsHPSiCcu07
266,lofi chillhop beats to quarantine/self isolate to,50,spotify:playlist:0npZlnzi42J4b0vQ3QnFpY
267,summer '20 if corona flattens,62,spotify:playlist:7frpTqyIhRBiyGTFXiWbwJ
268,Music To Be Quarantined By ,441,spotify:playlist:0nH8lQOIImZHPoULBu0OPw
269,quarantine pop vibes,45,spotify:playlist:0eCtvoi0QEST07RdxGkQnJ
270,♪ The Vintage Quarantine ♪  by Latin Girl,157,spotify:playlist:71GVQH72tNpYuRFfV6Iutl
271,Ozzy's Isolation Insanity Playlist,96,spotify:playlist:0Pe7h3OxHX91JuVoKKSWrI
272,quarantine ,23,spotify:playlist:66xTAWLYeUiwGSQdq1GUGf
273,Sunshine Quarantine,39,spotify:playlist:5XP02aCaEoeBakdwMu7jhW
274,Quarantine Chillout Mix,395,spotify:playlist:3DMdFE1FzeyCMWej5caBmU
275,COVID-19 K-Pop Quarantine Party,114,spotify:playlist:5I4JaRbVIQw5ovt0CjghlS
276,Stuck at home (Music for the Quarantine of 2020),43,spotify:playlist:1arcOfPHki9FJPPsf8zOyk
277,Easy Pop 24/7 in quarantine,829,spotify:playlist:7FnOY6C9NaNbDIvu11crHf
278,Trencher Quarantine,50,spotify:playlist:6v3DICrvNyODIBvQiVcYCj
279,quarantine & chill,50,spotify:playlist:2b5JLEHngxcA71uVDJ2vnA
280,Quarantine,256,spotify:playlist:2MRcErGW2GKBl8Q033uZEo
281,Quarantine Thrive,229,spotify:playlist:0tD7RWXqrnfOc2qYLZYH9V
282,Quarantine Dance Party for One 🎉,41,spotify:playlist:2OLC6rYq3LcwKdxVyMjiaN
283,quarantine dopamine ,83,spotify:playlist:5vxHMegjidZHLkDlMmsDBq
284,Apocalypse & Chill Quarantine Playlist,59,spotify:playlist:0hcHXQOpD5YWQmtBDghaQh
285,Lo-Fi Rain | Rainy Lofi,88,spotify:playlist:4eWBwGl0c5wtp6k5Krp6My
286,Quarantine and Chill,58,spotify:playlist:6wbe7ohJQFCLnTAx6bJaUb
287,"Lofi Quarantine Hip Hop, Chill, Instrumental, Vaporwave, Relax, Anime, Sleep, Study, Sad, Jazz, Beat",133,spotify:playlist:5rIUTQLtnhbwCFQwEijRWo
288,Stay the F*CK Home!,48,spotify:playlist:0EalsZBlNl9Oy1cEfbV1dS
289,FEEL GOOD II QUARANTINE EDITION,46,spotify:playlist:2f7GRi2qsY0SODfcOipjCs
