,acousticness,analysis_url,count,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,time_signature,track_href,type,uri,valence
8745,0.00126,https://api.spotify.com/v1/audio-analysis/4QlzkaRHtU8gAdwqjWmO8n,18,0.526,215160,0.763,False,4QlzkaRHtU8gAdwqjWmO8n,6.75e-05,0,0.359,-12.663,0,Friday I'm In Love,75,1992-01-01,0.0341,136.205,4,https://api.spotify.com/v1/tracks/4QlzkaRHtU8gAdwqjWmO8n,audio_features,spotify:track:4QlzkaRHtU8gAdwqjWmO8n,0.514
8748,0.179,https://api.spotify.com/v1/audio-analysis/7oOOI85fVQvVnK5ynNMdW7,13,0.808,220627,0.535,False,7oOOI85fVQvVnK5ynNMdW7,9.91e-05,1,0.158,-12.521,1,Rock with You - Single Version,72,1979-08-10,0.0353,114.031,4,https://api.spotify.com/v1/tracks/7oOOI85fVQvVnK5ynNMdW7,audio_features,spotify:track:7oOOI85fVQvVnK5ynNMdW7,0.848
8749,0.0077,https://api.spotify.com/v1/audio-analysis/4lJNen4SMTIJMahALc3DcB,9,0.69,187027,0.714,False,4lJNen4SMTIJMahALc3DcB,7.23e-05,7,0.191,-5.948,1,"Thunderclouds (feat. Sia, Diplo, and Labrinth)",77,2019-04-12,0.0338,112.009,4,https://api.spotify.com/v1/tracks/4lJNen4SMTIJMahALc3DcB,audio_features,spotify:track:4lJNen4SMTIJMahALc3DcB,0.489
8751,0.0851,https://api.spotify.com/v1/audio-analysis/3YCAQEpuFtgVVhEDJsW3gQ,6,0.53,226997,0.546,False,3YCAQEpuFtgVVhEDJsW3gQ,0.0,5,0.0519,-5.316,1,Bra för dig,68,2019-08-30,0.0338,156.022,4,https://api.spotify.com/v1/tracks/3YCAQEpuFtgVVhEDJsW3gQ,audio_features,spotify:track:3YCAQEpuFtgVVhEDJsW3gQ,0.255
8763,0.0619,https://api.spotify.com/v1/audio-analysis/3AYcyxEACnmE6d96RPubID,7,0.781,235613,0.526,True,3AYcyxEACnmE6d96RPubID,0.0,6,0.0457,-6.985,0,Thrift Shop (feat. Wanz),71,2012-10-09,0.293,94.992,4,https://api.spotify.com/v1/tracks/3AYcyxEACnmE6d96RPubID,audio_features,spotify:track:3AYcyxEACnmE6d96RPubID,0.662
8770,0.033,https://api.spotify.com/v1/audio-analysis/1wgqttlPacpvmX5DKVboOa,13,0.447,205200,0.848,False,1wgqttlPacpvmX5DKVboOa,7.45e-05,2,0.65,-6.175,1,Paper Planes,71,2007-08-20,0.222,172.247,4,https://api.spotify.com/v1/tracks/1wgqttlPacpvmX5DKVboOa,audio_features,spotify:track:1wgqttlPacpvmX5DKVboOa,0.485
8772,0.219,https://api.spotify.com/v1/audio-analysis/1AI7UPw3fgwAFkvAlZWhE0,6,0.885,189733,0.762,False,1AI7UPw3fgwAFkvAlZWhE0,0.0,8,0.162,-5.513,0,Take Me Back to London (feat. Stormzy),73,2019-07-12,0.216,138.059,4,https://api.spotify.com/v1/tracks/1AI7UPw3fgwAFkvAlZWhE0,audio_features,spotify:track:1AI7UPw3fgwAFkvAlZWhE0,0.605
8774,0.0421,https://api.spotify.com/v1/audio-analysis/4kV4N9D1iKVxx1KLvtTpjS,42,0.726,190440,0.554,True,4kV4N9D1iKVxx1KLvtTpjS,0.0,5,0.106,-5.29,0,"break up with your girlfriend, i'm bored",81,2019-02-08,0.0917,169.999,4,https://api.spotify.com/v1/tracks/4kV4N9D1iKVxx1KLvtTpjS,audio_features,spotify:track:4kV4N9D1iKVxx1KLvtTpjS,0.335
8781,0.0157,https://api.spotify.com/v1/audio-analysis/1hRFVIy9As8OVRk8B7CrD5,5,0.674,191000,0.862,False,1hRFVIy9As8OVRk8B7CrD5,0.000427,11,0.169,-4.614,1,When Love Takes Over (feat. Kelly Rowland),67,2010-11-22,0.0253,129.965,4,https://api.spotify.com/v1/tracks/1hRFVIy9As8OVRk8B7CrD5,audio_features,spotify:track:1hRFVIy9As8OVRk8B7CrD5,0.5
8782,0.225,https://api.spotify.com/v1/audio-analysis/5p9XWUdvbUzmPCukOmwoU3,12,0.587,201707,0.767,False,5p9XWUdvbUzmPCukOmwoU3,0.0,0,0.112,-5.713,1,Suddenly I See,68,2005-01-01,0.0449,100.38,4,https://api.spotify.com/v1/tracks/5p9XWUdvbUzmPCukOmwoU3,audio_features,spotify:track:5p9XWUdvbUzmPCukOmwoU3,0.664
